scenario_cls,BaseSAVPolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label,scenario_label
SAVScenario,RFC8704,DATA,all_wout_ixps,TRUE_NEGATIVE,0.1,0,98.18181818181819,4.781119893708641,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,TRUE_POSITIVE,0.1,0,0.0,0.0,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FILTERED_ON_PATH,0.1,0,0.0,0.0,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,DISCONNECTED,0.1,0,1.8181818181818181,4.781119893708641,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FORWARD,0.1,0,0.0,0.0,,rfc8704
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,60.0,39.90636312897754,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.2,0,0.0,0.0,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.2,0,84.54545454545455,20.718186206070776,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.2,0,0.9090909090909091,3.5636363636363644,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.2,0,50.90909090909091,37.9154832195054,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.0,0.0,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FORWARD,0.2,0,0.0,0.0,,strict
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,90.0,18.31029516667902,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.2,0,0.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.2,0,100.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.2,0,0.9090909090909091,3.5636363636363644,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.2,0,11.818181818181818,19.648534948434065,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FORWARD,0.2,0,0.0,0.0,,feasible
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,81.81818181818181,47.81119893708641,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.2,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.2,0,100.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.2,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.2,0,22.727272727272727,46.10745050136189,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FORWARD,0.2,0,0.0,0.0,,enhanced
SAVScenario,BAR SAV,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,0.9090909090909091,3.5636363636363644,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FALSE_POSITIVE,0.2,0,80.9090909090909,12.34479848303636,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,TRUE_NEGATIVE,0.2,0,0.9090909090909091,3.5636363636363644,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,TRUE_POSITIVE,0.2,0,78.18181818181819,19.648534948434065,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FILTERED_ON_PATH,0.2,0,33.63636363636363,20.656798852750033,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,DISCONNECTED,0.2,0,0.0,0.0,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FORWARD,0.2,0,0.0,0.0,,bar_sav
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,93.63636363636364,16.94133387276308,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FALSE_POSITIVE,0.2,0,0.0,0.0,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,TRUE_NEGATIVE,0.2,0,100.0,0.0,,efp_alg_a
